German	English	Frequency
gekriegt	got	1367	
enttäuscht	disappointed	1366	
Hä	huh	1365	
One	one	1364	
der Bürger	the citizen	1363	
abends	in the evening	1361	
das Wetter	the weather	1360	
die Reaktion	the reaction	1359	
Homer	homer	1359	
die Mühe	the effort	1357	
Joey	joey	1357	
die Wüste	the desert	1356	
Leonard	leonard	1354	
Entspann	relaxing	1354	
schmeissen	to throw	1352	
leihen	to borrow	1352	
die Jungfrau	the virgo	1352	
das Versteck	the hide	1351	
Yo	yo	1350	
gratulieren	to congratulate	1349	
das Gelb	the yellow	1349	
die Brille	the glasses	1349	
entwickelt	developed	1348	
decken	to cover	1348	
romantisch	romantic	1347	
der Champagner	the champagne	1347	
bilden	to make up	1346	
das Chaos	the chaos	1345	
aufregend	exciting	1345	
prüfen	to check	1343	
Nancy	nancy	1343	
der Montag	the monday	1343	
meins	mine	1343	
abgeschlossen	completed	1343	
die Unterhaltung	the entertainment	1342	
der Hubschrauber	the helicopter	1342	
die Träne	the tear	1340	
der Dummkopf	the fool	1339	
Jason	jason	1338	
fühl	feeling	1338	
anbieten	to offer	1338	
die Gerechtigkeit	the justice	1337	
wonach	what	1336	
der Mittag	the noon	1335	
der Hof	the court	1335	
Barry	barry	1335	
netter	cute	1333	
Anführer	leader	1333	
der Botschafter	the ambassador	1331	
der WOLF	the wolf	1330	
bluten	to bleed	1329	
der Huhn	the chicken	1328	
neulich	recently	1327	
vögeln	to fuck	1326	
der Stand	the stand	1326	
vorn	in front	1325	
der Tunnel	the tunnel	1325	
ldee	idea	1324	
Cop	cop	1323	
streng	strictly	1322	
Mittagessen	lunch	1321	
Km	km	1321	
China	china	1321	
weggehen	to go away	1320	
der Spiegel	the mirror	1320	
die Kohle	the coal	1318	
unheimlich	scary	1317	
der Manager	the manager	1317	
die Geisel	the hostage	1317	
geführt	out	1317	
die Technologie	the technology	1316	
der Spieler	the player	1316	
Schlafzimmer	bedroom	1316	
Fred	fred	1316	
die Tasse	the cup	1315	
fähig	capable	1314	
dicht	close	1314	
anhören	to listen to	1312	
das Mittel	the means	1310	
erfüllen	to meet	1310	
verdächtigen	to suspect	1308	
die Nation	the nation	1308	
verbrannt	burnt	1307	
sexuell	sexually	1307	
das Prozent	the percent	1307	
Hurensohn	son of a bitch	1307	
älter	older	1307	
der Opa	the grandpa	1306	
der Boy	the boy	1306	
unbekannt	unknown	1305	
einstellen	to set	1305	
anständig	decent	1304	
unglücklich	unhappy	1303	
die Regel	the rule	1303	
die Kette	the chain	1303	
die Kopie	the copy	1302	
geöffnet	open	1302	
filmen	to film	1301	
Doctor	doctor	1301	
spazieren	to walk	1300	
der Eindruck	the impression	1300	
X	x	1299	
Lucy	lucy	1299	
Leo	leo	1299	
die Spitze	the top	1298	
die Puppe	the doll	1298	
die Korrektur	the correction	1298	
beissen	to bite	1297	
Nigger	nigger	1295	
angesehen	viewed	1295	
begegnet	encountered	1294	
welchen	what	1293	
Bruce	bruce	1291	
Smith	smith	1289	
Lincoln	lincoln	1289	
täglich	every day	1288	
Schieß	shooting	1288	
Verräter	traitor	1287	
üben	to practice	1285	
das Studio	the studio	1285	
mehrere	several	1284	
Fayed	fayed	1284	
tapfer	brave	1283	
Miles	miles	1280	
die Hoheit	the sovereignty	1280	
das Dutzend	the dozen	1280	
die Locke	the curl	1279	
der Oberst	the colonel	1277	
der Müll	the waste	1277	
die Pille	the pill	1276	
einladen	to invite	1276	
inner	intra-	1275	
angekommen	arrived	1275	
die Wirklichkeit	the reality	1274	
Kalifornien	california	1274	
Jean	jean	1273	
erlebt	experienced	1273	
die Dunkelheit	the darkness	1273	
woIIte	woiite	1272	
ann	ann	1272	
die Milliarde	the billion	1271	
fröhlich	cheerful	1271	
der Stil	the style	1270	
lecker	delicious	1270	
das Symptom	the symptom	1268	
herrschen	to prevail	1268	
die Heimat	the home	1268	
hinterher	afterwards	1265	
eindeutig	clearly	1265	
der Kilometer	the kilometer	1264	
mutig	brave	1263	
grob	coarse	1263	
der West	the west	1261	
der Tote	the dead	1261	
herrlich	gorgeous	1261	
Amy	amy	1261	
das Kreuz	the cross	1260	
fuck	fuck	1260	
der Ausweis	the id card	1260	
Hosen	pants	1259	
das Nass	the wet	1258	
do	do	1258	
der Schädel	the skull	1256	
ruiniert	ruined	1256	
das Gegenteil	the contrary	1256	
der Empfang	the reception	1256	
sexy	sexy	1254	
die Kanone	the cannon	1253	
der Hintergrund	the background	1253	
dahinter	behind it	1252	
weitergehen	to go on	1251	
ruinieren	to ruin	1251	
das Gewissen	the conscience	1251	
der Bär	the bear	1251	
das Vorgehen	the proceed	1250	
die CIA	the cia	1250	
Maggie	maggie	1249	
der Magen	the stomach	1249	
angeblich	allegedly	1249	
heutzutage	these days	1247	
hundert	hundred	1246	
go	go	1244	
Vegas	vegas	1243	
Roy	roy	1243	
betrogen	cheated	1243	
der Vorteil	the advantage	1242	
Amanda	amanda	1242	
starren	to stare	1241	
Jin	jin	1241	
gleichzeitig	at the same time	1241	
rühren	to stir	1238	
national	national	1238	
der Leiter	the conductor	1238	
geworfen	thrown	1238	
speziell	specifically	1237	
das Militär	the military	1237	
die Fabrik	the factory	1236	
der Block	the block	1236	
die Beerdigung	the funeral	1236	
verbergen	to hide	1235	
manche	some	1235	
billig	cheap	1235	
gelebt	lived	1234	
hiermit	hereby	1233	
angenommen	adopted	1233	
zuviel	too much	1232	
das Shirt	the shirt	1231	
die Maske	the mask	1231	
Verpiss	piss off	1230	
der Sand	the sand	1228	
erfunden	made up	1228	
das Heil	the intact	1227	
Cousin	cousin	1226	
das Hirn	the brain	1225	
der Gruß	the greeting	1225	
der Anteil	the share	1225	
leichter	easier	1224	
gezwungen	forced	1224	
Walt	walt	1222	
die Veränderung	the change	1221	
Neill	neill	1221	
geil	horny	1221	
einfallen	to occur	1220	
Schöne	beautiful	1219	
der Glaube	the faith	1219	
gering	low	1219	
der Inspektor	the inspector	1218	
Charlotte	charlotte	1218	
die Welle	the wave	1217	
Julie	julie	1217	
stoßen	to bump	1216	
die Politik	the policy	1216	
gefolgt	followed	1216	
die Ursache	the root cause	1215	
geholt	brought	1215	
der Markt	the market	1214	
Hill	hill	1214	
neugierig	curious	1212	
richtiger	real	1211	
der Käse	the cheese	1211	
die Nutte	the hooker	1210	
der Kanal	the channel	1210	
nerven	to bug	1209	
würd	'd	1208	
respektieren	to respect	1208	
freiwillig	voluntarily	1208	
der Artikel	the article	1208	
kapiert	get it	1207	
existieren	to exist	1207	
Texas	texas	1206	
Willow	willow	1205	
die Verabredung	the appointment	1205	
korrekt	correctly	1205	
find	place	1205	
weii	weii	1204	
love	love	1204	
überraschen	to surprise	1203	
Palmer	palmer	1203	
der Klient	the client	1203	
die Höhle	the cave	1202	
your	your	1200	
bestätigt	confirmed	1200	
das Werk	the work	1199	
der Stress	the stress	1199	
inzwischen	in the meantime	1198	
räumen	to clear	1197	
das Klo	the loo	1197	
die Zwölf	the twelve	1196	
der Verbrecher	the criminal	1196	
die Tour	the tour	1196	
blöde	stupid	1196	
der Künstler	the artist	1195	
Jo	jo	1195	
Larry	larry	1193	
informieren	to inform	1192	
die Geburt	the birth	1192	
bestellt	ordered	1192	
verabschieden	to adopt	1191	
der Unterricht	the lessons	1191	
HOOD	hood	1191	
Dinger	dinger	1191	
beschreiben	to describe	1191	
die Wissenschaft	the science	1190	
verschiedene	various	1190	
der Verlust	the loss	1190	
erfüllt	satisfies	1190	
dieselbe	the same	1190	
betrügen	to cheat	1190	
der Zweck	the purpose	1189	
Tim	tim	1186	
die Decke	the ceiling	1186	
der Kreis	the circle	1185	
Cops	cops	1185	
bereuen	to regret	1185	
rollen	to roll	1183	
beibringen	to teach	1183	
das Amen	the amen	1183	
Neue	new	1182	
lauter	pure	1181	
füllen	to fill	1178	
versichern	to insure	1176	
das Pech	the pitch	1176	
die Schwarze	the black	1175	
Uniform	uniform	1174	
rechten	right	1174	
trocken	dry	1173	
der Schnee	the snow	1173	
der Flügel	the wing	1173	
das Experiment	the experiment	1172	
rechtzeitig	in time	1171	
erschrecken	to scare	1168	
der Sender	the transmitter	1167	
Tyler	tyler	1166	
Beeilung	hurry up	1165	
der Schuh	the shoe	1164	
Dexter	dexter	1164	
umdrehen	to turn around	1163	
klären	to clarify	1162	
ahnen	to suspect	1162	
die Klinik	the clinic	1161	
die Schokolade	the chocolate	1159	
international	international	1158	
happy	happy	1158	
typisch	typical	1157	
die Mitternacht	the midnight	1157	
Laura	laura	1157	
der Griff	the handle	1157	
vertreten	to represent	1156	
Herrgott	god	1156	
schaff	creating	1155	
identifizieren	to identify	1155	
die Basis	the base	1155	
wiederkommen	to come back	1154	
der Text	the text	1154	
Schrei	cry	1154	
pfeifen	to whistle	1153	
Ooh	ooh	1153	
English	english	1153	
grausam	cruel	1152	
bescheuert	stupid	1152	
Grant	grant	1150	
drum	drum	1150	
begonnen	started	1150	
nützen	to use	1149	
gewarnt	warned	1149	
der Chinese	the chinese	1149	
durchs	through	1147	
yahoo	yahoo	1146	
die Schlacht	the battle	1146	
Edward	edward	1146	
durchsuchen	to search	1145	
Ross	horse	1144	
die Not	the distress	1144	
das Seil	the rope	1143	
das Rad	the wheel	1143	
wei	wei	1142	
begehen	to commit	1140	
die Methode	the method	1138	
Grace	grace	1138	
Scarlett	scarlett	1137	
der Experte	the expert	1137	
die Warnung	the warning	1136	
die Störung	the disorder	1136	
Katie	katie	1136	
die Hütte	the hut	1136	
eingehen	to enter	1136	
bedenken	to consider	1136	
der Schrank	the cabinet	1135	
das Fahrzeug	the vehicle	1135	
verwandeln	to transform	1134	
wertvoll	valuable	1133	
hergekommen	come	1130	
Hollywood	hollywood	1129	
Email	enamel	1129	
Scofield	scofield	1128	
mußtest	had to	1128	
das Konto	the account	1128	
betrachten	to consider	1128	
die Bedingung	the condition	1128	
der Start	the begin	1127	
die Vision	the vision	1125	
täuschen	to deceive	1125	
nachsehen	to see	1125	
Scheißkerl	bastard	1124	
die Dusche	the shower	1124	
der Zucker	the sugar	1123	
Stanley	stanley	1123	
der Sarg	the coffin	1123	
notwendig	necessary	1123	
reagieren	to react	1122	
der Profi	the professional	1122	
die Hexe	the witch	1122	
wirkIich	wirkiich	1121	
überlegt	considered	1121	
der Regisseur	the director	1121	
die Einladung	the invitation	1120	
loswerden	get rid of	1119	
die Lektion	the lesson	1119	
fließen	to flow	1119	
das Pack	the pack	1118	
per	by	1117	
das Objekt	the object	1117	
Fieber	fever	1117	
die Einstellung	the setting	1117	
drohen	to threaten	1117	
gelegt	set	1116	
aussteigen	to get out	1116	
der Satz	the set	1115	
Riggs	riggs	1115	
erfreut	pleased	1115	
Lloyd	lloyd	1114	
ignorieren	to ignore	1114	
hinsetzen	to sit down	1114	
flüstern	to whisper	1114	
Johnson	johnson	1113	
wenige	few	1112	
der Besitzer	the owner	1112	
der Arbeiter	the worker	1112	
abgeben	to leave	1112	
tödlich	fatal	1111	
Cent	cent	1111	
besucht	visited	1111	
telefonieren	to phone	1110	
braun	brown	1110	
die Technik	the technology	1109	
der Geruch	the odor	1109	
Todd	todd	1107	
lehren	to teach	1106	
der Bau	the construction	1106	
die Stufe	the stage	1104	
der Schreibtisch	the desk	1104	
Bursche	boy	1104	
momentan	currently	1103	
das Gedächtnis	the memory	1102	
dramatisch	dramatic	1101	
tauschen	to exchange	1100	
anstellen	to do	1100	
Day	day	1096	
die Realität	the reality	1095	
besiegen	to defeat	1095	
begrüßen	to welcome	1095	
die Klamotte	the dud	1094	
geträumt	dreamed	1094	
Cooper	cooper	1094	
unterbrechen	to interrupt	1092	
die Stimmung	the mood	1090	
der Hai	the shark	1090	
der Titel	the title	1089	
das Elend	the wretched	1089	
der Teddy	the teddy	1088	
sicherlich	certainly	1088	
das Sandwich	the sandwich	1088	
die Anklage	the prosecution	1088	
verflucht	cursed	1087	
Brown	brown	1087	
die Wut	the rage	1086	
segnen	to bless	1086	
rund	about	1086	
flehen	to plead	1085	
Can	can	1085	
bemerken	to notice	1085	
das Material	the material	1084	
gelandet	landed	1084	
BLACK	black	1084	
WohI	wohi	1083	
die Ewigkeit	the eternity	1083	
brach	fallow	1083	
belügen	to lie to	1083	
der Schnitt	the section	1082	
meistens	mostly	1082	
wehtun	hurt	1081	
unterscheiden	to distinguish	1081	
toller	great	1081	
Helen	helen	1081	
die Höhe	the height	1080	
der Donnerstag	the thursday	1080	
das Modell	the model	1079	
kündigen	to terminate	1079	
das Training	the training	1077	
einsetzen	to use	1077	
die Verstärkung	the reinforcement	1076	
behauptet	claims	1076	
What	what	1075	
geschaffen	created	1075	
gemeldet	reported	1074	
Martha	martha	1073	
Deutschland	germany	1073	
versagt	fails	1071	
live	live	1071	
kotzen	to puke	1070	
das Holz	the wood	1070	
die Versicherung	the insurance	1069	
Sheldon	sheldon	1069	
jüdisch	jewish	1069	
weiblich	female	1068	
little	little	1067	
eilig	hastily	1067	
öfter	more	1066	
Mars	mars	1066	
der Leutnant	the lieutenant	1065	
ausgeben	to spend	1065	
dämlich	stupid	1064	
aufgegeben	given up	1064	
schreib	write	1063	
der Dienstag	the tuesday	1063	
die Aktion	the action	1062	
Stärke	strength	1061	
Linda	linda	1061	
der Stift	the pin	1060	
die Sicht	the view	1060	
Sayid	sayid	1060	
loslassen	to let go	1060	
Julia	julia	1059	
hervorragend	excellent	1059	
bekämpfen	to fight	1059	
weigern	to deny	1057	
Jesse	jesse	1057	
die Farm	the farm	1057	
die Öffentlichkeit	the public	1056	
gefühlt	felt	1056	
Eva	eva	1056	
die Suppe	the soup	1055	
das Mitleid	the compassion	1055	
das Gewicht	the weight	1055	
Barney	barney	1055	
losgehen	to start	1054	
Aye	aye	1054	
abnehmen	to remove	1054	
technisch	technically	1053	
die Schwäche	the weakness	1053	
der Roman	the novel	1053	
präsentiert	presented	1053	
hunderte	hundreds	1053	
die Generation	the generation	1053	
zurückgehen	to go back	1052	
Titten	breasts	1052	
verlieben	to fall in love	1050	
Nate	nate	1050	
vorgestellt	presented	1049	
vergangen	past	1048	
Marshall	marshall	1048	
der Gouverneur	the governor	1048	
der Fluch	the curse	1048	
mitbringen	to bring	1047	
dünn	thin	1047	
rechnen	to count	1046	
der Rauch	the smoke	1046	
mitmachen	to participate	1046	
leeren	to empty	1046	
die Scheidung	the divorce	1045	
löschen	to delete	1045	
dauernd	continuously	1045	
White	white	1043	
eingesperrt	locked	1043	
clever	clever	1043	
überfallen	to attack	1042	
Marie	marie	1042	
malen	to paint	1042	
nützlich	useful	1040	
die Stellung	the position	1039	
Stan	stan	1039	
gIaube	giaube	1039	
begeistert	enthusiastic	1039	
der Auftritt	the appearance	1038	
haIIo	haiio	1037	
daneben	in addition	1037	
vermeiden	to avoid	1036	
die Magie	the magic	1036	
der Student	the student	1035	
geschenkt	given	1035	
erstmal	first	1035	
das Benzin	the gasoline	1035	
verursachen	to cause	1034	
bestens	very well	1034	
die Ware	the product	1033	
toter	dead	1033	
Donna	donna	1033	
Berlin	berlin	1033	
Weiße	white	1032	
stillen	to satisfy	1032	
gekämpft	fought	1032	
rausfinden	find out	1031	
zurecht	cope	1030	
der Parker	the parker	1030	
Miller	miller	1030	
der Einfluss	the influence	1030	
die Wolke	the cloud	1029	
Krankenwagen	ambulance	1029	
German	german	1029	
beeindruckt	impressed	1029	
Alice	alice	1029	
folgend	following	1027	
erhöhen	to increase	1027	
Dämonen	demons	1027	
sun	sun	1026	
dritte	third	1026	
verrückter	crazy	1025	
die Mine	the mine	1025	
gestört	disturbed	1025	
Truck	truck	1024	
Ned	ned	1024	
besessen	possessed	1024	
this	this	1023	
süßen	to sweeten	1023	
britisch	british	1023	
das Afrika	the africa	1023	
treu	faithful	1022	
scheiden	to divorce	1022	
mitteilen	to notify	1022	
gewohnt	usual	1022	
wund	sore	1021	
genial	ingenious	1021	
entstehen	to arise	1020	
beschlossen	decided	1020	
aufbauen	to build up	1020	
Tracy	tracy	1019	
gesteckt	plugged	1019	
Hauptmann	captain	1018	
verzweifelt	desperate	1017	
übers	over	1017	
der Penner	the penner	1017	
die Marine	the marine	1017	
die Behörde	the authority	1017	
Sean	sean	1016	
Stargate	stargate	1015	
der Autor	the author	1015	
attraktiv	attractive	1015	
modern	modern	1013	
das Alien	the alien	1012	
großzügig	generously	1011	
bezweifeln	to doubt	1011	
benötigen	to need	1011	
bedanken	to thank you	1011	
die Verteidigung	the defense	1008	
Christian	christian	1008	
amüsieren	to amuse	1008	
ll	ll	1007	
Jay	jay	1007	
beigebracht	taught	1007	
Tatort	scene of the crime	1006	
Houston	houston	1006	
geküsst	kissed	1006	
Andrew	andrew	1006	
der Tempel	the temple	1005	
der Gegner	the opponent	1005	
Dämon	demon	1005	
Cole	cole	1005	
der Antrag	the application	1005	
der Anschlag	the stop	1005	
die Abmachung	the agreement	1005	
Nina	nina	1004	
sanft	gently	1003	
der Staub	the dust	1002	
der Junior	the junior	1002	
Oscar	oscar	1001	
Ladies	ladies	1001	
äußerst	extremely	1001	
over	over	1000	
intelligent	intelligent	1000	
der Sport	the sports	998	
männlich	male	998	
Jackie	jackie	997	
die Elle	the cubit	997	
abhalten	to discourage	997	
rauskommen	get out	995	
das Plus	the plus	995	
gewöhnen	to accustom	995	
gerecht	just	995	
emotional	emotional	995	
der Christus	the christ	995	
bestraft	punishable	995	
Terry	terry	994	
Internet	internet	994	
die Gesundheit	the bless you	993	
verwandt	related	992	
Santa	santa	992	
Badezimmer	bathroom	991	
der Verdacht	the suspicion	990	
der Mitarbeiter	the employee	990	
die Verfügung	the disposal	989	
reizend	lovely	989	
Marian	marian	989	
das Vermögen	the property	988	
unangenehm	uncomfortable	988	
stets	always	988	
Marcus	marcus	988	
bewundern	to admire	988	
trainieren	to work out	987	
das Kilo	the kilo	986	
verlaufen	to run	984	
immerhin	after all	984	
die Quelle	the source	983	
Deck	deck	983	
bequem	easily	983	
der Rasen	the lawn	982	
Kelly	kelly	982	
der Jäger	the hunter	982	
der Reporter	the reporter	981	
Heut	today	981	
gedreht	twisted	981	
friedlich	peaceful	981	
Emma	emma	981	
berührt	touches	981	
vollständig	completely	980	
japanisch	japanese	980	
Football	football	980	
der Diener	the servant	980	
der Ruhm	the fame	979	
die Rate	the rate	979	
innen	inside	979	
ausruhen	to rest	979	
die Episode	the episode	978	
der Dschungel	the jungle	978	
winzig	tiny	977	
versagen	to fail	977	
die Küste	the coast	977	
bergen	to hide	976	
die Wette	the bet	975	
die Rückkehr	the return	975	
die Affäre	the affair	975	
